# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=9 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans mu
1145.036 2064633 3.4872624 3.9653024 0.012062269 2.7610118 3.0529167 0.0019742078 0 0 0 0 0 0 0.030053
1150.037 2083574 3.4879714 3.9661087 0.010773847 2.7609951 3.0528791 0.0019611607 0 0 0 0 0 0 0.030049
1155.037 2102516 3.488887 3.9671232 0.012992466 2.7609942 3.0528581 0.0011941709 0 0 0 0 0 0 0.030045
1160.037 2121458 3.4900694 3.9684197 0.015124661 2.7609545 3.0527952 0.0014652017 0 0 0 0 0 0 0.030042
1165.037 2140400 3.4917779 3.9703416 0.014704637 2.7609486 3.0527634 0.0018390766 0 0 0 0 0 0 0.030038
1170.037 2159342 3.4920669 3.9706707 0.0088580517 2.7609514 3.0527429 0.0011207915 0 0 0 0 0 0 0.030035
1175.037 2178284 3.4924073 3.9710566 0.010469106 2.7609191 3.0526849 0.0014785727 0 0 0 0 0 0 0.030032
1180.037 2197225 3.4929143 3.9716073 0.007011593 2.7609052 3.052642 0.0012521039 0 0 0 0 0 0 0.03003
1185.037 2216166 3.493656 3.9724299 0.0084475015 2.7608415 3.0525488 0.0021274072 0 0 0 0 0 0 0.030027
1190.037 2235108 3.4941309 3.9729716 0.0078720537 2.7608147 3.0524992 0.0014491854 0 0 0 0 0 0 0.030025
1195.037 2254049 3.4948644 3.9737812 0.0068877487 2.7607614 3.0524245 0.0014583962 0 0 0 0 0 0 0.030023
1200.037 2272990 3.4961297 3.9751689 0.023690551 2.7609073 3.0525471 0.0097391951 0 0 0 0 0 0 0.030021
1205.037 2291931 3.4963825 3.9754676 0.011088312 2.7609404 3.0525582 0.0040183552 0 0 0 0 0 0 0.03002
1210.037 2310873 3.4970111 3.976191 0.0077422114 2.76108 3.0526763 0.0081233937 0 0 0 0 0 0 0.030018
1215.038 2329815 3.4972016 3.9764178 0.0077549016 2.7610426 3.0526165 0.0020774069 0 0 0 0 0 0 0.030017
1220.038 2348757 3.4974282 3.9766846 0.0091579236 2.7610692 3.052625 0.0029294792 0 0 0 0 0 0 0.030015
1225.038 2367699 3.4977639 3.9770663 0.0069413151 2.761029 3.0525618 0.0017435178 0 0 0 0 0 0 0.030014
1230.038 2386640 3.4979564 3.9772874 0.0065710537 2.7609784 3.0524868 0.0016924853 0 0 0 0 0 0 0.030013
1235.038 2405581 3.4987786 3.9781964 0.01346984 2.7610698 3.0525585 0.003885211 0 0 0 0 0 0 0.030012
1240.038 2424523 3.4988094 3.9782463 0.01133059 2.7610797 3.0525514 0.0021663837 0 0 0 0 0 0 0.030011
1245.038 2443465 3.4989273 3.9783884 0.0054880803 2.7610177 3.0524657 0.0017341647 0 0 0 0 0 0 0.03001
1250.038 2462406 3.4990959 3.9785823 0.0050895663 2.7609749 3.0523995 0.0011370065 0 0 0 0 0 0 0.030009
1255.038 2481348 3.499277 3.9787778 0.01044818 2.7609237 3.0523267 0.0013507049 0 0 0 0 0 0 0.030009
1260.038 2500290 3.4995441 3.979084 0.010645198 2.7608628 3.0522415 0.0013042803 0 0 0 0 0 0 0.030008
1265.038 2519231 3.4997524 3.9793209 0.0060744474 2.7608344 3.05219 0.0018090326 0 0 0 0 0 0 0.030007
1270.038 2538173 3.4999543 3.9795506 0.0040520758 2.7607953 3.0521284 0.0012589941 0 0 0 0 0 0 0.030007
1275.039 2557115 3.5001145 3.9797335 0.0042753442 2.7607464 3.0520572 0.0013392846 0 0 0 0 0 0 0.030006
1280.039 2576057 3.5002955 3.9799391 0.0042050935 2.7606742 3.0519565 0.0016526069 0 0 0 0 0 0 0.030006
1285.039 2594999 3.500471 3.9801396 0.0036084531 2.7606378 3.0518946 0.0013156149 0 0 0 0 0 0 0.030005
1290.039 2613941 3.5005281 3.9802082 0.0036874314 2.7606213 3.051856 0.0016422045 0 0 0 0 0 0 0.030005
1295.039 2632882 3.5006301 3.9803252 0.0026379871 2.7605673 3.0517755 0.0011681195 0 0 0 0 0 0 0.030004
1300.039 2651824 3.500689 3.9803942 0.002096038 2.7605099 3.0516946 0.0015500789 0 0 0 0 0 0 0.030004
1305.039 2670766 3.5008498 3.9805765 0.0052450613 2.7605169 3.0516805 0.0012548356 0 0 0 0 0 0 0.030004
1310.039 2689708 3.5009479 3.9806837 0.0073253298 2.7604994 3.0516415 0.00099809454 0 0 0 0 0 0 0.030003
1315.039 2708650 3.5012278 3.9809828 0.0082728999 2.7604662 3.0515808 0.0012640984 0 0 0 0 0 0 0.030003
1320.039 2727591 3.5012854 3.9810499 0.0051451835 2.7604402 3.0515294 0.0017784536 0 0 0 0 0 0 0.030003
1325.039 2746533 3.5014435 3.98123 0.0069968378 2.7603914 3.0514573 0.0014318216 0 0 0 0 0 0 0.030003
